"name.x","fips","population.x","pop_sqmi.x","white.x","black.x","hispanic.x","other_race.x","pct_male.x","pct_female.x","med_age.x","all_rate.x","mddo_rate.x","nppa_rate.x","count_all.x","mddo_count.x","nppa_count.x","name.y","population.y","pop_sqmi.y","white.y","black.y","hispanic.y","other_race.y","pct_male.y","pct_female.y","med_age.y","all_rate.y","mddo_rate.y","nppa_rate.y","count_all.y","mddo_count.y","nppa_count.y","year","pct_change_all","pct_change_mddo","pct_change_nppa"
"Clay",19041,16775,29.3,95.8390461997019,0.411326378539493,2.84351713859911,1.16840536512668,48.7093889716841,50.6467958271237,42.4,20.8643815201192,17.2876304023845,3.57675111773472,35,29,6,"Clay",16775,29.3,95.8390461997019,0.411326378539493,2.84351713859911,1.16840536512668,48.7093889716841,50.6467958271237,42.4,26.2295081967213,23.8450074515648,2.38450074515648,44,40,4,"2015 - 2017",-0.0536512667660209,-0.0655737704918033,0.0119225037257824
"Crawford",19047,17272,24.2,82.0287169986105,1.20426123205188,23.9173228346457,13.0963408985641,50.2836961556276,48.6973135710977,38.5,5.21074571560908,5.21074571560908,0,9,9,0,"Crawford",17272,24.2,82.0287169986105,1.20426123205188,23.9173228346457,13.0963408985641,50.2836961556276,48.6973135710977,38.5,5.21074571560908,5.21074571560908,0,9,9,0,"2015 - 2017",0,0,0
"Dallas",19049,76829,129.8,79.3593564929909,1.19486131538872,5.28316130627758,1.8339429121816,42.1051946530607,43.9755821369535,34.3,0.91111429278007,0.91111429278007,0,7,7,0,"Dallas",76829,129.8,79.3593564929909,1.19486131538872,5.28316130627758,1.8339429121816,42.1051946530607,43.9755821369535,34.3,2.99366124770594,2.60318369365734,0.390477554048601,23,20,3,"2015 - 2017",-0.0208254695492587,-0.0169206940087727,-0.00390477554048601
"Decatur",19053,8703,16.3,92.7036654027347,1.74652418706193,2.07974261748822,0.471101918878548,48.6958520050557,48.477536481673,38,16.0864069860967,13.7883488452258,2.29805814087096,14,12,2,"Decatur",8703,16.3,92.7036654027347,1.74652418706193,2.07974261748822,0.471101918878548,48.6958520050557,48.477536481673,38,5.74514535217741,3.44708721130645,2.29805814087096,5,3,2,"2015 - 2017",0.103412616339193,0.103412616339193,0
"Dickinson",19059,16979,42,96.507450379881,0.170799222569056,1.04835384887214,0.217916249484658,48.6483302903587,49.5141056599329,47.8,5.8896283644502,5.30066552800518,0.58896283644502,10,9,1,"Dickinson",16979,42,96.507450379881,0.170799222569056,1.04835384887214,0.217916249484658,48.6483302903587,49.5141056599329,47.8,10.6013310560104,7.65651687378526,2.9448141822251,18,13,5,"2015 - 2017",-0.0471170269156016,-0.0235585134578008,-0.0235585134578008
"Emmet",19063,10154,25.2,94.4553870395903,0.64014181603309,7.51428008666535,3.68327752609809,50.6499901516644,50.8075635217648,41,16.7421705731731,15.7573370100453,0.984833563127831,17,16,1,"Emmet",10154,25.2,94.4553870395903,0.64014181603309,7.51428008666535,3.68327752609809,50.6499901516644,50.8075635217648,41,18.7118376994288,17.727004136301,0.984833563127831,19,18,1,"2015 - 2017",-0.0196966712625566,-0.0196966712625566,0
"Fremont",19071,7289,14.1,98.9436136644258,0.535052819316779,2.56550967210866,1.08382494169296,50.6928248044999,51.3925092605296,45.1,10.9754424475237,9.60351214158321,1.37193030594046,8,7,1,"Fremont",7289,14.1,98.9436136644258,0.535052819316779,2.56550967210866,1.08382494169296,50.6928248044999,51.3925092605296,45.1,15.091233365345,13.7193030594046,1.37193030594046,11,10,1,"2015 - 2017",-0.0411579091782137,-0.0411579091782137,0
"Greene",19073,9142,16,99.62809013345,0.284401662655874,1.87048785823671,0.896959089914679,50.4594180704441,51.6626558739882,45.6,10.9385254867644,10.9385254867644,0,10,10,0,"Greene",9142,16,99.62809013345,0.284401662655874,1.87048785823671,0.896959089914679,50.4594180704441,51.6626558739882,45.6,18.5954933274995,18.5954933274995,0,17,17,0,"2015 - 2017",-0.0765696784073507,-0.0765696784073507,0
"Guthrie",19077,10800,18.2,98.9537037037037,0.148148148148148,1.87037037037037,0.787037037037037,50.3981481481481,51.0277777777778,44.8,0.925925925925926,0.925925925925926,0,1,1,0,"Guthrie",10800,18.2,98.9537037037037,0.148148148148148,1.87037037037037,0.787037037037037,50.3981481481481,51.0277777777778,44.8,3.7037037037037,1.85185185185185,1.85185185185185,4,2,2,"2015 - 2017",-0.0277777777777778,-0.00925925925925926,-0.0185185185185185
"Hamilton",19079,15544,26.9,94.589552238806,0.321667524446732,5.03088008234689,2.32887287699434,50.1286670097787,50.7012352032939,42.3,5.79001544004117,5.79001544004117,0,9,9,0,"Hamilton",15544,26.9,94.589552238806,0.321667524446732,5.03088008234689,2.32887287699434,50.1286670097787,50.7012352032939,42.3,5.14668039114771,3.86001029336078,1.28667009778693,8,6,2,"2015 - 2017",0.00643335048893464,0.0193000514668039,-0.0128667009778693
"Hancock",19081,11294,19.7,97.0161147511953,0.495838498317691,3.52399504161502,1.39897290596777,50.0796883300868,50.3364618381441,44.8,13.2813883477953,8.85425889853019,4.4271294492651,15,10,5,"Hancock",11294,19.7,97.0161147511953,0.495838498317691,3.52399504161502,1.39897290596777,50.0796883300868,50.3364618381441,44.8,15.0522401275013,13.2813883477953,1.77085177970604,17,15,2,"2015 - 2017",-0.0177085177970604,-0.044271294492651,0.0265627766955906
"Harrison",19085,14771,21.1,99.2349874754587,0.169250558526843,1.23891408841649,0.230180759596507,49.7461241622097,51.3167693453388,42.9,2.70800893642949,2.70800893642949,0,4,4,0,"Harrison",14771,21.1,99.2349874754587,0.169250558526843,1.23891408841649,0.230180759596507,49.7461241622097,51.3167693453388,42.9,8.80102904339584,4.73901563875161,4.06201340464424,13,7,6,"2015 - 2017",-0.0609302010696635,-0.0203100670232212,-0.0406201340464424
"Humboldt",19091,9686,22.2,97.2331199669626,0.454263886021061,3.68573198430725,2.09580838323353,50.041296716911,51.2905224034689,44.2,4.12967169110056,4.12967169110056,0,4,4,0,"Humboldt",9686,22.2,97.2331199669626,0.454263886021061,3.68573198430725,2.09580838323353,50.041296716911,51.2905224034689,44.2,2.06483584555028,2.06483584555028,0,2,2,0,"2015 - 2017",0.0206483584555028,0.0206483584555028,0
"Ida",19093,7001,16.2,99.3715183545208,0.242822453935152,1.42836737608913,0.599914297957435,50.5499214397943,50.7070418511641,44.7,4.28510212826739,2.85673475217826,1.42836737608913,3,2,1,"Ida",7001,16.2,99.3715183545208,0.242822453935152,1.42836737608913,0.599914297957435,50.5499214397943,50.7070418511641,44.7,12.8553063848022,7.14183688044565,5.71346950435652,9,5,4,"2015 - 2017",-0.0857020425653478,-0.0428510212826739,-0.0428510212826739
"Kossuth",19109,15599,16,97.5895890762228,0.282069363420732,1.3782934803513,0.467978716584396,49.4134239374319,50.2275786909417,46.4,4.48746714532983,4.48746714532983,0,7,7,0,"Kossuth",15599,16,97.5895890762228,0.282069363420732,1.3782934803513,0.467978716584396,49.4134239374319,50.2275786909417,46.4,2.56426694018847,2.56426694018847,0,4,4,0,"2015 - 2017",0.0192320020514136,0.0192320020514136,0
"Lyon",19119,11715,19.9,96.7989756722151,0.0853606487409304,1.80964575330773,1.08408023900982,49.3640631668801,49.4921041399915,38.8,3.41442594963722,3.41442594963722,0,4,4,0,"Lyon",11715,19.9,96.7989756722151,0.0853606487409304,1.80964575330773,1.08408023900982,49.3640631668801,49.4921041399915,38.8,9.38967136150235,9.38967136150235,0,11,11,0,"2015 - 2017",-0.0597524541186513,-0.0597524541186513,0
"Madison",19121,16111,28.7,95.4378995717212,0.285519210477314,1.22276705356589,0.242070634969896,48.3955061759047,48.9230960213519,39.8,1.24138787164049,1.24138787164049,0,2,2,0,"Madison",16111,28.7,95.4378995717212,0.285519210477314,1.22276705356589,0.242070634969896,48.3955061759047,48.9230960213519,39.8,3.72416361492148,2.48277574328099,1.24138787164049,6,4,2,"2015 - 2017",-0.0248277574328099,-0.0124138787164049,-0.0124138787164049
"Mills",19129,15196,34.5,96.3345617267702,0.375098710186891,2.36246380626481,0.552777046591208,49.8289023427218,49.2695446170045,41.2,1.97420373782574,1.97420373782574,0,3,3,0,"Mills",15196,34.5,96.3345617267702,0.375098710186891,2.36246380626481,0.552777046591208,49.8289023427218,49.2695446170045,41.2,3.29033956304291,1.97420373782574,1.31613582521716,5,3,2,"2015 - 2017",-0.0131613582521716,0,-0.0131613582521716
"Monona",19133,9021,12.9,99.4568229686288,0.365813102760226,1.18612127258619,0.299301629531094,50.06096885046,52.3999556590178,47.1,3.3255736614566,3.3255736614566,0,3,3,0,"Monona",9021,12.9,99.4568229686288,0.365813102760226,1.18612127258619,0.299301629531094,50.06096885046,52.3999556590178,47.1,5.54262276909434,4.43409821527547,1.10852455381887,5,4,1,"2015 - 2017",-0.0221704910763773,-0.0110852455381887,-0.0110852455381887
